,NAICS,SIC,公司名/CompanyName,公司规模/CompanySize,国家/Country,城市/City,年度税收规模/AnnualRevenue,电子邮件/Email,省份/Province,经营类别/BusinessType,联系人/ContactPerson,联系电话/Phone,详情链接/URL,邮寄地址/MailingAddress,邮政编码/ZIP
0,115115 - Farm Labor Contractors and Crew Leaders,0761 - Farm Labor Contractors and Crew Leaders,Maui Harvesting,Large,US,El Centro,Medium,none,"
                                    El Centro, CA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/maui-harvesting,none,92243
1,561730 - Landscaping Services,0782 - Lawn and Garden Services,Trugreen Companies LLC,Large,US,Memphis,High,none,"
                                    Memphis, TN                                ",Administrative and Support and Waste Management and Remediation Services,none,none,http://siccode.com/en/business/trugreen-companies-llc,none,38120
2,"115112 - Soil Preparation, Planting, and Cultivating",0721 - Crop Planting and Protection,DowAgroSciences LLC,Large,US,Indianapolis,High,none,"
                                    Indianapolis, IN                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/dowagrosciences-llc,none,46268
3,561730 - Landscaping Services,0783 - Ornamental Shrub and Tree Services,Lewis Tree Service Inc,Large,US,West Henrietta,Medium,none,"
                                    West Henrietta, NY                                ",Administrative and Support and Waste Management and Remediation Services,none,none,http://siccode.com/en/business/lewis-tree-service-inc-1,none,14586
4,115114 - Postharvest Crop Activities (except Cotton Ginning),"0723 - Crop Preparation Services for Market, except Cotton Ginning",Floridas Natural Growers,Large,US,Lake Wales,High,none,"
                                    Lake Wales, FL                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/floridas-natural-growers,none,33853
5,561730 - Landscaping Services,0782 - Lawn and Garden Services,Turf Tenders Lawn Care,Large,US,Oak Park,Medium,none,"
                                    Oak Park, MI                                ",Administrative and Support and Waste Management and Remediation Services,none,none,http://siccode.com/en/business/turf-tenders-lawn-care,none,48237
6,115114 - Postharvest Crop Activities (except Cotton Ginning),"0723 - Crop Preparation Services for Market, except Cotton Ginning",Stadelman Fruit LLC,Large,US,Zillah,High,none,"
                                    Zillah, WA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/stadelman-fruit-llc,none,98953
7,561730 - Landscaping Services,0782 - Lawn and Garden Services,Linemaster Services,Large,US,Westerville,Medium,none,"
                                    Westerville, OH                                ",Administrative and Support and Waste Management and Remediation Services,none,none,http://siccode.com/en/business/linemaster-services-1,none,43081
8,115115 - Farm Labor Contractors and Crew Leaders,0761 - Farm Labor Contractors and Crew Leaders,Aztec Harvesting Inc,Large,US,Blythe,Medium,none,"
                                    Blythe, CA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/aztec-harvesting-inc,none,92225
9,115115 - Farm Labor Contractors and Crew Leaders,0761 - Farm Labor Contractors and Crew Leaders,Mac-Bee Harvesting Inc,Large,US,Arcadia,Medium,none,"
                                    Arcadia, FL                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/macbee-harvesting-inc,none,34266
