,NAICS,SIC,公司名/CompanyName,公司规模/CompanySize,国家/Country,城市/City,年度税收规模/AnnualRevenue,电子邮件/Email,省份/Province,经营类别/BusinessType,联系人/ContactPerson,联系电话/Phone,详情链接/URL,邮寄地址/MailingAddress,邮政编码/ZIP
0,111421 - Nursery and Tree Production,0181 - Ornamental Floriculture and Nursery Products,Jackson & Perkins Operations Inc,Large,US,Hodges,Medium,none,"
                                    Hodges, SC                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/jackson-perkins-operations-inc,none,29653
1,111998 - All Other Miscellaneous Crop Farming,"0191 - General Farms, Primarily Crop",Duda Farm Fresh Foods,Large,US,Belle Glade,Medium,none,"
                                    Belle Glade, FL                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/duda-farm-fresh-foods-3,none,33430
2,111998 - All Other Miscellaneous Crop Farming,"0191 - General Farms, Primarily Crop",Gargiulo Inc,Large,US,Naples,Medium,none,"
                                    Naples, FL                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/gargiulo-inc,none,34120
3,111339 - Other Noncitrus Fruit Farming,0175 - Deciduous Tree Fruits,Broetje Orchards,Large,US,Prescott,Medium,none,"
                                    Prescott, WA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/broetje-orchards,none,99348
4,111998 - All Other Miscellaneous Crop Farming,"0191 - General Farms, Primarily Crop",Perdue Foods,Large,US,Washington,Medium,none,"
                                    Washington, IN                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/perdue-foods,none,47501
5,111998 - All Other Miscellaneous Crop Farming,"0191 - General Farms, Primarily Crop",Paramount Farms Huller 4,Large,US,Lost Hills,Medium,none,"
                                    Lost Hills, CA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/paramount-farms-huller-4,none,93249
6,111998 - All Other Miscellaneous Crop Farming,"0191 - General Farms, Primarily Crop",Murphy Brown,Large,US,Milan,Medium,none,"
                                    Milan, MO                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/murphy-brown,none,63556
7,111421 - Nursery and Tree Production,0181 - Ornamental Floriculture and Nursery Products,Zelenka Nursery Inc,Large,US,Grand Haven,Medium,none,"
                                    Grand Haven, MI                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/zelenka-nursery-inc,none,49417
8,111998 - All Other Miscellaneous Crop Farming,"0191 - General Farms, Primarily Crop",Fieldale Farms Inc,Large,US,Gainesville,Medium,none,"
                                    Gainesville, GA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/fieldale-farms-inc,none,30507
9,111419 - Other Food Crops Grown Under Cover,0182 - Food Crops Grown Under Cover,Monterey Mushrooms Inc,Large,US,Watsonville,Medium,none,"
                                    Watsonville, CA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/monterey-mushrooms-inc-2,none,95076
