,NAICS,SIC,公司名/CompanyName,公司规模/CompanySize,国家/Country,城市/City,年度税收规模/AnnualRevenue,电子邮件/Email,省份/Province,经营类别/BusinessType,联系人/ContactPerson,联系电话/Phone,详情链接/URL,邮寄地址/MailingAddress,邮政编码/ZIP
0,114112 - Shellfish Fishing,0913 - Shellfish,Nisbet Oyster Co,Medium,US,Bay Center,Medium,none,"
                                    Bay Center, WA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/nisbet-oyster-co,none,98527
1,114112 - Shellfish Fishing,0913 - Shellfish,Joey Oyster Inc,Medium,US,Amite,Medium,none,"
                                    Amite, LA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/joey-oyster-inc,none,70422
2,114210 - Hunting and Trapping,"0971 - Hunting, Trapping, Game Propagation",Douglas Animal Welfare Group,Medium,US,Gardnerville,Medium,none,"
                                    Gardnerville, NV                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/douglas-animal-welfare-group,none,89410
3,114111 - Finfish Fishing,0912 - Finfish,Zapata Haynie,Medium,US,Houston,Medium,none,"
                                    Houston, TX                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/zapata-haynie-1,none,77042
4,114210 - Hunting and Trapping,"0971 - Hunting, Trapping, Game Propagation",Wildlife Rehabilitators,Medium,US,Huntsville,Medium,none,"
                                    Huntsville, AL                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/wildlife-rehabilitators,none,35804
5,112511 - Finfish Farming and Fish Hatcheries,0921 - Fish Hatcheries and Preserves,Columbia River Inter-Tribal Fish Commission,Medium,US,Portland,Medium,none,"
                                    Portland, OR                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/columbia-river-intertribal-fish-commission,none,97232
6,114210 - Hunting and Trapping,"0971 - Hunting, Trapping, Game Propagation",Nespelem Fish & Wildlife,Medium,US,Nespelem,Low,none,"
                                    Nespelem, WA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/nespelem-fish-wildlife,none,99155
7,114111 - Finfish Fishing,0912 - Finfish,Ohara Corporation,Medium,US,Rockland,Low,none,"
                                    Rockland, ME                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/ohara-corporation-1,none,04841
8,114210 - Hunting and Trapping,"0971 - Hunting, Trapping, Game Propagation",NLC Products Inc,Medium,US,Little Rock,Low,none,"
                                    Little Rock, AR                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/nlc-products-inc,none,72212
9,114210 - Hunting and Trapping,"0971 - Hunting, Trapping, Game Propagation",San Juan Rehabilitation & Care Center,Medium,US,Anacortes,Low,none,"
                                    Anacortes, WA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/san-juan-rehabilitation-care-center,none,98221
10,114210 - Hunting and Trapping,"0971 - Hunting, Trapping, Game Propagation",Leavittsburg Fish & Game,Medium,US,Warren,Low,none,"
                                    Warren, OH                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/leavittsburg-fish-game,none,44483
11,114112 - Shellfish Fishing,0913 - Shellfish,Wiegardt Brothers Inc,Medium,US,Nahcotta,Low,none,"
                                    Nahcotta, WA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/wiegardt-brothers-inc,none,98637
12,114210 - Hunting and Trapping,"0971 - Hunting, Trapping, Game Propagation",Central California Spca,Medium,US,Fresno,Low,none,"
                                    Fresno, CA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/central-california-spca,none,93706
13,114210 - Hunting and Trapping,"0971 - Hunting, Trapping, Game Propagation",Northern Anderson County Ems,Medium,US,Easley,Low,none,"
                                    Easley, SC                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/northern-anderson-county-ems,none,29642
14,114210 - Hunting and Trapping,"0971 - Hunting, Trapping, Game Propagation",Wild Wings Game Farm,Medium,US,Hugo,Low,none,"
                                    Hugo, MN                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/wild-wings-game-farm,none,55038
15,114210 - Hunting and Trapping,"0971 - Hunting, Trapping, Game Propagation",Lavergne Rescue Unit I,Medium,US,Missoula,Low,none,"
                                    Missoula, MT                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/lavergne-rescue-unit-i,none,59802
16,114210 - Hunting and Trapping,"0971 - Hunting, Trapping, Game Propagation",La Wildlife Enforcement,Medium,US,Monroe,Low,none,"
                                    Monroe, LA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/la-wildlife-enforcement,none,71203
17,114210 - Hunting and Trapping,"0971 - Hunting, Trapping, Game Propagation",Av Animal Rescue,Small,US,Boonville,Low,none,"
                                    Boonville, CA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/av-animal-rescue,none,95415
18,114111 - Finfish Fishing,0912 - Finfish,Fjord Seafoods,Small,US,Seattle,Low,none,"
                                    Seattle, WA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/fjord-seafoods,none,98103
19,114119 - Other Marine Fishing,0919 - Miscellaneous Marine Products,Ebi Elevating Boats LLC,Small,US,Houma,Low,none,"
                                    Houma, LA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/ebi-elevating-boats-llc-2,none,70363
20,114210 - Hunting and Trapping,"0971 - Hunting, Trapping, Game Propagation",Athlete's Choice,Small,US,Trenton,Low,none,"
                                    Trenton, NJ                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/athletes-choice-1,none,08620
21,114210 - Hunting and Trapping,"0971 - Hunting, Trapping, Game Propagation",Longleaf Plantation,Small,US,Purvis,Low,none,"
                                    Purvis, MS                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/longleaf-plantation-1,none,39475
22,114210 - Hunting and Trapping,"0971 - Hunting, Trapping, Game Propagation",Blue Chip,Small,US,Fenton,Low,none,"
                                    Fenton, MO                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/blue-chip-1,none,63026
23,114210 - Hunting and Trapping,"0971 - Hunting, Trapping, Game Propagation",Urban Assembly School For Wildlife Conservation,Small,US,Bronx,Low,none,"
                                    Bronx, NY                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/urban-assembly-school-for-wildlife-conservation,none,10460
24,114112 - Shellfish Fishing,0913 - Shellfish,P & J Oyster Co,Small,US,New Orleans,Low,none,"
                                    New Orleans, LA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/p-j-oyster-co,none,70112
