,NAICS,SIC,公司名/CompanyName,公司规模/CompanySize,国家/Country,城市/City,年度税收规模/AnnualRevenue,电子邮件/Email,省份/Province,经营类别/BusinessType,联系人/ContactPerson,联系电话/Phone,详情链接/URL,邮寄地址/MailingAddress,邮政编码/ZIP
0,115310 - Support Activities for Forestry,0851 - Forestry Services,Weyerhaeuser,Large,US,Longview,Medium,none,"
                                    Longview, WA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/weyerhaeuser-25,none,98632
1,115310 - Support Activities for Forestry,0851 - Forestry Services,US Forestry Dept,Large,US,Washington,Medium,none,"
                                    Washington, DC                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/us-forestry-dept-55,none,20250
2,115310 - Support Activities for Forestry,0851 - Forestry Services,Forestry & Fire Protection,Large,US,Mariposa,Medium,none,"
                                    Mariposa, CA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/forestry-fire-protection-7,none,95338
3,115310 - Support Activities for Forestry,0851 - Forestry Services,USDA Forest Service,Medium,US,Vallejo,Medium,none,"
                                    Vallejo, CA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/usda-forest-service-1,none,94592
4,115310 - Support Activities for Forestry,0851 - Forestry Services,USDA Forest Service,Medium,US,Portland,Medium,none,"
                                    Portland, OR                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/usda-forest-service-43,none,97204
5,115310 - Support Activities for Forestry,0851 - Forestry Services,USDA Forest Service,Medium,US,Libby,Medium,none,"
                                    Libby, MT                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/usda-forest-service-48,none,59923
6,115310 - Support Activities for Forestry,0851 - Forestry Services,Medicine Bow National Forest,Medium,US,Laramie,Medium,none,"
                                    Laramie, WY                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/medicine-bow-national-forest,none,82070
7,115310 - Support Activities for Forestry,0851 - Forestry Services,USDA Forest Service Locator,Medium,US,Albuquerque,Medium,none,"
                                    Albuquerque, NM                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/usda-forest-service-locator,none,87102
8,115310 - Support Activities for Forestry,0851 - Forestry Services,US Forestry Dept,Medium,US,Albuquerque,Medium,none,"
                                    Albuquerque, NM                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/us-forestry-dept-167,none,87102
9,115310 - Support Activities for Forestry,0851 - Forestry Services,State Of California Department-Forestry,Medium,US,Sacramento,Medium,none,"
                                    Sacramento, CA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/state-of-california-departmentforestry,none,95814
10,115310 - Support Activities for Forestry,0851 - Forestry Services,Forestry & Fire Protection,Medium,US,San Andreas,Medium,none,"
                                    San Andreas, CA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/forestry-fire-protection-24,none,95249
11,115310 - Support Activities for Forestry,0851 - Forestry Services,Land & Forest Dept,Medium,US,New Paltz,Medium,none,"
                                    New Paltz, NY                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/land-forest-dept-1,none,12561
12,115310 - Support Activities for Forestry,0851 - Forestry Services,Danbury City Forestry Dept,Medium,US,Danbury,Medium,none,"
                                    Danbury, CT                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/danbury-city-forestry-dept,none,06810
13,115310 - Support Activities for Forestry,0851 - Forestry Services,US Forest Service Contracting,Medium,US,Albuquerque,Medium,none,"
                                    Albuquerque, NM                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/us-forest-service-contracting,none,87102
14,115310 - Support Activities for Forestry,0851 - Forestry Services,US Forestry Dept,Medium,US,Pineville,Medium,none,"
                                    Pineville, LA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/us-forestry-dept-408,none,71360
15,115310 - Support Activities for Forestry,0851 - Forestry Services,Forest Presrv District Dupage County,Medium,US,Wheaton,Medium,none,"
                                    Wheaton, IL                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/forest-presrv-district-dupage-county,none,60189
16,115310 - Support Activities for Forestry,0851 - Forestry Services,US Forest Service Text Telephone,Medium,US,Albuquerque,Medium,none,"
                                    Albuquerque, NM                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/us-forest-service-text-telephone,none,87102
17,115310 - Support Activities for Forestry,0851 - Forestry Services,USDA Forest Service,Medium,US,Sitka,Medium,none,"
                                    Sitka, AK                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/usda-forest-service-30,none,99835
18,115310 - Support Activities for Forestry,0851 - Forestry Services,Hunting Fishing & Forestry,Medium,US,New Paltz,Medium,none,"
                                    New Paltz, NY                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/hunting-fishing-forestry,none,12561
19,115310 - Support Activities for Forestry,0851 - Forestry Services,Forestry Fire Protctn CA Dept,Medium,US,San Bernardino,Medium,none,"
                                    San Bernardino, CA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/forestry-fire-protctn-ca-dept,none,92405
20,115310 - Support Activities for Forestry,0851 - Forestry Services,Forest Service Aviation Management,Medium,US,Redding,Medium,none,"
                                    Redding, CA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/forest-service-aviation-management,none,96002
21,115310 - Support Activities for Forestry,0851 - Forestry Services,Forestry & Fire Protection,Medium,US,Red Bluff,Medium,none,"
                                    Red Bluff, CA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/forestry-fire-protection-3,none,96080
22,115310 - Support Activities for Forestry,0851 - Forestry Services,Forestry & Fire Protection,Medium,US,Willits,Medium,none,"
                                    Willits, CA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/forestry-fire-protection-67,none,95490
23,115310 - Support Activities for Forestry,0851 - Forestry Services,Quality Forestry Service Inc,Medium,US,Monticello,Medium,none,"
                                    Monticello, MS                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/quality-forestry-service-inc,none,39654
24,115310 - Support Activities for Forestry,0851 - Forestry Services,USDA Forest Service,Medium,US,Atlanta,Medium,none,"
                                    Atlanta, GA                                ","Agriculture, Forestry, Fishing and Hunting",none,none,http://siccode.com/en/business/usda-forest-service-49,none,30309
